,SBD,Toán,Văn,Sử,Địa,Ngoại ngữ,GDCD,Lí,Hóa,Sinh
0,50002417,2.4,5.5,6.5,4.75,3.0,6.0,,,
1,50002418,8.4,6.5,9.5,8.0,6.2,9.25,,,
2,50002419,6.2,5.5,6.25,5.75,4.8,7.0,,,
3,50002420,6.4,6.5,4.75,6.75,2.6,6.25,,,
4,50002421,8.6,7.5,8.0,8.75,6.0,8.0,,,
5,50002422,8.2,7.0,,,2.8,,8.0,7.75,4.25
6,50002423,6.4,7.5,5.75,5.75,4.6,8.25,,,
7,50002424,5.8,7.25,7.25,6.75,7.6,6.25,,,
8,50002425,7.2,7.5,,,5.6,,7.5,7.25,2.75
9,50002426,5.6,5.5,5.0,7.0,4.2,7.5,,,
10,50002427,5.2,7.25,7.0,7.75,3.4,7.75,,,
11,50002428,8.0,6.5,,,4.6,,7.75,7.5,5.0
12,50002429,7.6,7.0,,,6.2,,8.0,5.25,5.75
13,50002430,7.4,7.75,,,6.2,,8.0,7.75,5.75
14,50002431,7.0,6.5,,,6.2,,6.75,6.5,4.5
15,50002432,8.4,7.0,,,8.0,,7.5,8.0,7.0
16,50002433,4.4,6.0,6.0,6.25,,,,,
17,50002434,5.8,6.75,,,3.6,,5.25,6.0,4.5
18,50002435,6.8,7.0,7.25,7.0,6.8,8.0,,,
19,50002436,8.4,6.5,,,7.0,,5.25,8.25,8.75
20,50002437,8.0,6.5,,,3.2,,2.25,7.25,7.75
21,50002438,6.0,5.5,6.25,6.0,4.4,7.25,,,
22,50002439,8.6,7.5,8.25,7.25,7.6,9.25,,,
23,50002440,6.2,4.5,,,5.2,,5.5,5.75,3.75
24,50002441,8.6,6.75,,,6.4,,6.75,6.5,5.0
25,50002442,6.6,5.5,5.5,6.75,3.4,8.25,,,
26,50002443,5.6,5.0,6.0,5.25,3.4,6.75,,,
27,50002444,7.0,5.75,7.25,7.5,5.0,8.5,,,
28,50002445,8.6,5.75,,,3.0,,8.75,8.5,4.5
29,50002446,3.2,7.0,5.25,6.5,3.8,9.25,,,
30,50002447,5.2,7.0,7.0,8.25,3.0,7.75,,,
31,50002448,7.8,6.0,,,6.8,,7.25,6.25,4.25
32,50002449,6.0,6.75,6.0,6.0,4.0,6.75,,,
33,50002450,6.2,6.5,,,3.6,,5.5,3.5,3.75
34,50002451,8.8,7.0,5.5,7.0,5.4,8.0,,,
