,SBD,Toán,Văn,Sử,Địa,Ngoại ngữ,GDCD,Lí,Hóa,Sinh
0,50010001,6.4,6.5,6.0,7.75,3.4,8.75,,,
1,50010002,8.6,7.0,,,5.8,,9.0,8.75,6.5
2,50010003,8.4,7.75,,,8.4,,8.75,6.75,6.5
3,50010004,7.6,7.25,9.0,9.25,4.6,9.25,,,
4,50010005,7.8,6.0,8.5,8.0,2.6,9.5,,,
5,50010006,6.8,7.25,,,5.0,,7.75,6.25,5.5
6,50010007,7.4,8.25,8.25,8.5,6.0,9.5,,,
7,50010008,5.6,7.0,5.75,7.0,3.4,9.0,,,
8,50010009,6.8,7.25,,,6.8,,6.75,6.5,6.25
9,50010010,5.8,7.0,4.5,6.75,3.8,8.0,,,
10,50010011,7.6,6.75,,,6.0,,5.75,4.75,4.75
11,50010012,7.6,8.0,8.5,8.25,5.2,8.5,,,
12,50010013,8.0,7.75,,,5.8,,7.0,7.75,5.5
13,50010014,7.2,7.0,,,3.8,,5.75,6.25,4.0
14,50010015,7.4,7.25,8.0,8.25,3.0,9.25,,,
15,50010016,5.6,5.25,5.25,6.75,3.4,7.5,,,
16,50010017,9.4,8.25,,,8.0,,9.0,8.0,7.75
17,50010018,6.0,7.25,9.75,8.75,4.2,9.5,,,
18,50010019,7.8,7.75,,,5.0,,6.5,6.5,6.75
19,50010020,6.6,7.5,8.5,8.75,5.6,9.0,,,
20,50010021,5.8,6.5,6.75,8.0,2.8,8.75,,,
21,50010022,7.4,7.5,6.5,8.25,4.0,7.25,,,
22,50010023,7.2,7.75,,,6.2,,5.5,6.75,6.25
23,50010024,6.4,7.25,7.25,8.5,3.4,8.5,,,
24,50010025,7.4,8.25,8.5,9.5,8.8,10.0,,,
25,50010026,8.4,8.5,,,7.0,,7.75,6.25,5.75
26,50010027,7.6,7.75,,,6.6,,6.25,7.5,5.5
27,50010028,5.6,6.75,5.25,7.5,4.2,9.0,,,
28,50010029,7.4,7.5,,,4.6,,5.0,5.25,5.25
29,50010030,8.6,8.5,,,6.4,,7.0,8.25,7.75
30,50010031,8.0,8.25,9.0,8.5,4.8,9.75,,,
31,50010032,4.8,5.25,4.5,6.5,5.0,8.75,,,
32,50010033,5.2,7.0,7.25,7.75,4.2,7.25,,,
33,50010034,7.6,7.75,,,4.0,,7.5,7.75,7.0
34,50010035,7.8,6.75,,,5.0,,5.75,8.0,8.5
35,50010036,6.2,6.75,6.75,8.0,3.8,8.5,,,
36,50010037,7.8,7.5,8.0,8.75,5.2,9.25,,,
37,50010038,5.4,7.25,7.75,8.75,3.6,8.5,,,
38,50010039,7.6,7.0,7.0,8.5,3.2,8.5,,,
39,50010040,6.4,8.0,5.5,8.0,4.4,8.5,,,
40,50010041,7.4,7.25,8.25,8.75,4.4,9.5,,,
41,50010042,7.6,8.5,8.5,8.75,6.8,9.5,,,
42,50010043,7.2,7.75,,,4.6,,6.75,4.25,5.5
43,50010044,6.6,6.25,5.5,8.75,4.8,9.0,,,
44,50010045,7.0,6.25,6.0,8.0,5.2,8.5,,,
45,50010046,7.8,8.25,,,6.0,,6.5,7.25,5.5
46,50010047,7.4,7.0,7.75,7.5,4.4,8.0,,,
47,50010048,6.8,8.0,,,4.0,,6.0,5.5,5.0
48,50010049,6.6,7.25,6.75,7.5,4.2,9.0,,,
49,50010050,6.8,7.5,6.5,8.25,4.8,9.25,,,
50,50010051,7.0,8.25,6.25,7.5,5.4,8.0,,,
51,50010052,7.6,7.25,,,4.4,,7.75,6.5,6.75
52,50010053,7.8,9.0,,,7.0,,7.75,8.0,6.75
53,50010054,7.2,7.75,9.25,9.0,5.6,9.75,,,
54,50010055,6.2,7.0,7.25,9.0,4.4,9.25,,,
55,50010056,6.8,7.25,8.5,8.75,4.0,9.25,,,
56,50010057,8.0,7.5,8.5,9.0,6.2,9.0,,,
57,50010058,8.8,9.25,8.75,8.75,6.4,9.75,,,
58,50010059,5.8,6.25,6.5,6.75,4.8,8.75,,,
59,50010060,6.6,8.0,8.0,7.0,3.0,8.5,,,
60,50010061,6.8,8.0,8.0,7.75,3.8,8.5,,,
61,50010062,7.2,8.0,9.0,8.25,7.0,9.0,,,
62,50010063,6.2,6.75,7.75,8.75,3.6,9.0,,,
63,50010064,7.0,7.25,,,4.2,,7.25,7.25,6.5
64,50010065,7.6,8.25,,,4.8,,6.25,6.75,6.25
65,50010066,6.0,7.75,7.0,7.25,3.8,8.5,,,
66,50010067,7.6,8.0,,,6.2,,7.5,6.0,5.75
67,50010068,7.6,7.25,,,2.6,,5.75,5.5,5.5
68,50010069,6.6,7.5,8.0,7.75,3.8,8.25,,,
69,50010070,6.8,6.75,7.5,7.5,3.6,8.75,,,
70,50010071,8.6,8.0,,,3.2,,7.75,8.5,6.25
71,50010072,3.0,7.0,5.25,5.25,3.6,6.5,,,
72,50010073,5.6,7.5,7.5,8.5,2.8,8.75,,,
73,50010074,7.4,6.5,7.5,8.0,3.6,9.0,,,
74,50010075,7.0,6.25,,,3.4,,5.5,2.75,3.0
75,50010076,8.2,7.0,,,5.8,,7.75,9.0,5.75
76,50010077,6.8,7.5,,,4.2,,7.0,5.25,5.75
77,50010078,6.6,6.75,8.0,8.25,4.6,9.0,,,
78,50010079,5.8,6.75,5.75,7.0,5.0,8.75,,,
79,50010080,7.8,7.5,,,6.2,,5.75,5.75,4.5
80,50010081,4.2,6.0,4.75,7.5,3.0,8.0,,,
81,50010082,6.0,7.25,,,4.0,,5.25,5.25,4.75
82,50010083,8.4,6.25,,,3.4,,5.25,5.75,4.0
83,50010084,5.8,9.0,8.75,8.5,4.4,9.5,,,
84,50010085,4.8,7.5,6.25,8.5,4.2,8.25,,,
85,50010086,7.6,6.75,8.5,8.75,5.2,9.5,,,
86,50010087,4.0,6.5,6.5,7.0,3.6,7.75,,,
87,50010088,7.6,7.75,7.25,8.75,3.8,8.5,,,
88,50010089,7.8,8.5,,,5.6,,7.75,8.25,7.5
89,50010090,7.4,8.25,8.25,8.5,5.2,9.5,,,
90,50010091,7.8,8.25,,,4.6,,6.5,7.0,6.25
91,50010092,5.2,7.5,7.75,8.0,4.2,8.5,,,
92,50010093,5.8,8.0,7.0,8.5,4.2,9.0,,,
93,50010094,7.8,7.75,9.0,8.5,5.0,9.75,,,
94,50010095,7.6,7.0,,,5.4,,6.25,7.75,5.0
95,50010096,7.4,7.0,,,5.2,,6.25,7.75,6.75
96,50010097,6.6,6.75,7.25,8.75,2.8,8.5,,,
97,50010098,6.0,6.75,7.25,9.25,4.4,8.25,,,
98,50010099,7.2,6.75,8.25,7.25,4.8,9.0,,,
99,50010100,7.2,8.0,,,5.6,,8.5,6.25,5.25
100,50010101,7.0,7.75,9.0,9.0,5.6,9.25,,,
101,50010102,5.4,8.25,,,3.2,,4.25,3.75,3.75
102,50010103,5.4,8.0,7.75,7.25,5.0,9.0,,,
103,50010104,7.6,7.25,,,3.8,,7.75,6.25,5.0
104,50010105,4.6,6.0,5.25,7.0,4.0,8.0,,,
105,50010106,6.6,7.25,7.5,8.0,3.2,8.0,,,
106,50010107,8.8,8.75,,,5.6,,8.75,8.5,7.25
107,50010108,6.6,7.25,8.0,7.5,5.2,9.5,,,
108,50010109,8.0,8.75,,,5.8,,6.75,7.5,6.5
109,50010110,7.0,7.25,8.25,7.75,2.8,9.25,,,
110,50010111,8.2,7.75,,,5.2,,8.0,7.75,5.75
111,50010112,8.2,6.5,,,5.6,,6.75,6.25,5.5
112,50010113,8.0,6.0,5.25,7.5,4.0,8.5,,,
113,50010114,7.2,6.5,,,3.8,,5.5,7.5,5.25
114,50010115,8.8,8.25,,,7.4,,9.0,9.75,7.0
115,50010116,8.0,7.5,,,8.4,,7.25,6.0,7.5
116,50010117,7.6,7.0,,,2.8,,7.25,6.75,5.25
117,50010118,5.6,7.0,7.0,8.0,3.2,8.5,,,
118,50010119,7.4,7.5,,,5.0,,4.75,6.0,4.5
119,50010120,5.2,7.25,7.25,6.5,3.2,8.5,,,
120,50010121,4.4,6.75,8.0,7.75,3.2,8.5,,,
