,SBD,Toán,Lí,Hóa,Sinh,Văn,Ngoại ngữ,Sử,Địa,GDCD
431,50005433,8.4,7.5,7.5,5.75,8.0,6.4,,,
432,50005434,6.2,,,,5.25,4.2,4.5,7.5,8.0
433,50005435,4.8,4.0,6.25,3.5,7.0,3.2,,,
434,50005436,5.0,,,,6.5,,4.75,5.25,
435,50005437,6.4,,,,5.5,,4.0,6.75,
436,50005438,7.8,7.5,7.0,2.75,5.5,5.4,,,
437,50005439,5.2,,,,5.0,,6.0,6.25,
438,50005440,8.2,6.75,5.5,6.0,6.25,6.8,,,
439,50005441,3.8,,,,5.0,2.6,3.25,5.75,7.75
440,50005442,7.4,5.0,3.75,3.5,4.5,5.0,,,
441,50005443,6.0,6.0,6.25,3.5,6.0,4.6,,,
442,50005444,3.6,,,,5.25,3.2,4.5,6.5,9.0
443,50005445,7.0,6.0,8.0,5.0,5.25,4.6,,,
444,50005446,6.6,5.25,7.0,4.0,5.75,3.2,,,
445,50005447,2.6,,,,3.5,,2.5,5.0,
446,50005448,6.2,,,,7.0,3.2,7.75,6.5,8.75
447,50005449,7.4,,,,7.25,,7.75,8.0,
448,50005450,5.2,5.75,5.25,4.0,6.0,3.4,,,
449,50005451,6.4,5.5,7.25,4.0,7.0,5.0,,,
450,50005452,6.6,,,,6.5,5.2,9.0,8.5,8.75
451,50005453,3.0,,,,6.0,2.8,5.75,4.75,6.5
452,50005454,4.4,,,,3.0,,3.75,6.5,
453,50005455,7.4,6.75,7.25,5.75,6.75,6.6,,,
454,50005456,6.0,,,,4.0,,5.75,4.5,
455,50005457,7.2,7.25,8.25,4.0,7.75,3.8,,,
456,50005458,7.0,7.0,4.75,3.75,6.25,3.8,,,
457,50005459,6.2,5.5,6.25,4.25,7.0,4.2,,,
458,50005460,5.0,,,,5.25,,6.25,5.25,
459,50005461,6.6,,,,3.5,,5.25,6.75,
460,50005462,5.8,,,,7.0,5.2,8.25,7.75,8.75
461,50005463,6.2,,,,6.5,3.8,7.5,7.5,9.0
462,50005464,6.6,,,,7.0,5.0,8.75,7.5,9.5
463,50005465,6.2,,,,7.0,4.6,6.0,5.0,7.5
464,50005466,4.8,2.75,5.0,3.75,7.0,5.2,,,
465,50005467,6.2,,,,7.5,4.4,6.0,7.5,8.5
466,50005468,6.8,,,,7.25,4.8,6.5,6.25,8.75
467,50005469,6.8,5.75,7.0,4.0,7.0,6.4,,,
468,50005470,6.8,,,,7.0,,7.0,6.0,
469,50005471,6.0,,,,7.75,4.8,7.75,6.5,8.25
470,50005472,3.6,,,,6.5,6.4,5.25,6.25,7.75
471,50005473,5.6,6.0,5.5,3.75,5.75,4.0,,,
472,50005474,7.6,5.25,6.75,5.25,6.25,4.4,,,
473,50005475,7.0,6.75,4.5,5.25,6.5,5.4,,,
474,50005476,4.6,4.5,5.75,6.0,7.5,4.2,,,
475,50005477,7.2,,,,7.75,5.0,7.25,6.5,9.5
476,50005478,4.2,,,,5.25,3.4,6.0,6.5,8.0
477,50005479,7.4,,,,6.25,,8.75,7.25,
478,50005480,6.2,6.0,6.5,3.75,5.5,4.6,,,
479,50005481,6.2,6.25,5.0,4.0,6.0,4.2,,,
480,50005482,6.8,,,,7.0,4.8,7.5,8.25,9.5
481,50005483,7.4,,,,6.0,,5.5,6.5,
482,50005484,7.0,3.5,3.0,3.0,6.5,2.4,,,
483,50005485,5.6,,,,4.75,,5.0,5.0,
484,50005486,6.0,,,,5.75,3.2,4.5,4.75,6.25
485,50005487,4.0,,,,4.92,,6.0,5.5,
486,50005488,6.0,,,,6.75,4.0,6.75,5.0,7.5
487,50005489,5.4,,,,7.0,4.2,4.5,6.25,5.5
488,50005490,7.2,,,,7.0,4.8,8.0,7.0,9.5
489,50005491,6.2,6.75,6.75,4.75,7.25,6.0,,,
490,50005492,7.6,7.5,6.0,4.75,8.5,6.4,,,
491,50005493,6.0,,,,8.5,4.2,5.5,6.5,8.5
492,50005494,3.0,,,,8.0,3.4,5.5,4.5,8.25
493,50005495,7.6,6.5,7.25,3.0,6.5,4.0,,,
494,50005496,6.2,,,,7.5,6.8,7.5,7.25,8.75
495,50005497,7.6,,,,7.5,4.0,7.25,7.25,9.75
496,50005498,6.2,5.5,6.25,2.5,6.5,4.2,,,
497,50005499,5.8,,,,4.5,,6.0,5.25,
498,50005500,7.0,,,,5.17,,7.0,5.75,
499,50005501,5.8,,,,3.75,,4.5,4.5,
500,50005502,7.2,7.25,8.25,5.25,6.25,5.6,,,
501,50005503,6.2,,,,5.75,3.6,5.75,6.5,8.0
502,50005504,5.6,,,,6.5,3.2,5.75,6.75,8.25
503,50005505,6.0,5.5,5.25,2.75,5.75,4.2,,,
504,50005506,5.4,,,,6.0,5.2,7.0,8.0,9.5
505,50005507,6.6,,,,5.75,3.8,5.75,7.0,8.75
506,50005508,5.2,,,,6.25,,7.25,8.0,
507,50005509,7.0,,,,7.75,4.8,7.0,7.5,9.0
508,50005510,5.8,7.25,6.25,5.0,8.5,4.0,,,
509,50005511,6.2,4.75,4.5,3.75,7.25,6.4,,,
510,50005512,5.4,4.0,5.75,3.5,7.5,4.6,,,
511,50005513,5.8,,,,6.75,3.4,6.75,7.0,8.25
512,50005514,5.8,,,,7.25,3.0,7.5,8.0,9.25
513,50005515,6.4,3.75,5.0,3.5,5.5,4.6,,,
514,50005516,4.0,4.75,4.5,2.25,6.0,3.6,,,
515,50005517,6.4,,,,7.75,5.0,6.5,7.0,8.0
516,50005518,6.4,,,,5.5,4.4,5.25,6.25,7.5
517,50005519,5.6,6.5,5.0,4.5,6.5,5.0,,,
518,50005520,4.0,,,,6.0,3.6,4.25,6.5,8.0
519,50005521,4.6,,,,4.75,3.8,6.0,6.75,7.5
520,50005522,6.0,5.0,5.0,4.5,6.75,5.4,,,
521,50005523,4.2,,,,5.0,3.2,5.5,7.25,7.75
522,50005524,6.0,5.5,5.5,5.25,6.5,5.4,,,
523,50005526,7.2,7.25,4.25,3.75,6.0,9.0,,,
524,50005527,5.6,,,,6.75,,6.25,7.0,
525,50005528,8.6,6.5,6.0,2.75,5.0,4.8,,,
526,50005529,6.8,,,,6.75,4.8,8.0,8.0,9.25
527,50005530,5.6,5.25,4.5,3.0,4.75,3.2,,,
528,50005531,7.8,5.5,7.0,4.25,6.0,5.8,,,
529,50005532,7.0,5.0,5.75,3.75,6.0,2.6,,,
530,50005533,6.4,6.25,6.0,2.75,7.0,6.0,,,
531,50005534,6.4,6.0,5.5,3.0,6.25,5.0,,,
532,50005535,7.2,5.25,6.0,3.25,4.5,5.8,,,
533,50005536,5.6,,,,7.5,4.0,7.5,7.25,8.5
534,50005537,5.6,,,,6.5,,6.75,6.5,
535,50005538,3.8,,,,6.5,,6.0,4.5,
536,50005539,7.4,5.75,6.0,3.75,6.0,4.8,,,
537,50005540,7.2,7.25,6.75,4.5,6.75,5.8,,,
538,50005541,6.6,5.25,5.5,4.0,6.0,2.4,,,
539,50005542,8.2,4.75,6.25,4.25,6.5,5.4,,,
540,50005543,5.4,,,,8.25,5.4,8.5,8.25,9.5
541,50005544,5.2,4.25,5.5,1.75,4.25,2.6,,,
542,50005545,6.6,,,,7.25,,6.0,7.25,
543,50005546,4.8,6.75,6.75,4.0,7.5,4.2,,,
544,50005547,5.0,,,,6.0,,5.5,7.0,
545,50005548,5.2,5.75,5.5,4.5,5.75,5.2,,,
546,50005549,5.2,4.25,3.5,5.25,6.25,3.8,,,
547,50005550,6.4,4.75,5.75,2.0,6.0,5.6,,,
548,50005551,6.8,6.0,6.25,4.0,7.0,5.2,,,
549,50005552,5.0,7.0,7.5,3.0,7.5,5.2,,,
550,50005553,5.0,,,,5.0,,4.25,3.75,
551,50005554,6.4,5.5,5.5,3.5,7.25,4.0,,,
552,50005555,4.6,4.25,4.75,3.5,6.0,3.6,,,
553,50005556,5.6,3.0,4.25,4.75,8.25,7.6,,,
554,50005557,6.8,6.25,6.5,6.0,8.5,8.4,,,
555,50005558,6.4,,,,6.0,4.4,4.75,5.25,8.25
556,50005559,5.6,6.5,4.25,5.0,7.0,3.8,,,
557,50005560,6.8,4.75,6.75,4.5,6.75,4.8,,,
558,50005561,6.4,6.0,6.25,4.25,6.75,4.6,,,
559,50005562,5.4,,,,5.25,3.4,2.75,5.0,7.5
560,50005563,5.6,,,,6.75,5.4,7.5,7.5,9.5
561,50005564,6.2,5.5,5.25,2.75,5.75,4.2,,,
562,50005565,4.6,,,,5.0,,7.25,6.25,
563,50005566,7.8,5.5,6.75,5.25,6.0,5.4,,,
564,50005567,6.8,,,,6.5,,6.5,8.75,
565,50005568,5.0,5.75,6.0,3.25,5.5,6.4,,,
566,50005569,3.2,,,,4.5,,6.25,5.25,
567,50005570,6.6,,,,7.75,6.6,7.0,6.0,8.75
568,50005571,7.0,6.0,6.5,5.0,6.5,5.6,,,
569,50005572,5.8,,,,6.25,5.6,7.5,6.75,7.0
570,50005573,6.2,,,,7.75,4.8,8.0,8.5,9.5
571,50005574,5.4,,,,7.5,3.6,6.5,6.75,7.25
572,50005575,2.8,,,,5.0,3.8,4.0,5.0,6.25
573,50005576,4.2,,,,6.0,,4.75,5.25,
574,50005577,6.8,6.0,7.25,5.75,7.0,5.2,,,
575,50005578,6.6,5.75,6.0,4.0,5.0,5.6,,,
576,50005579,3.4,,,,5.25,,4.25,5.75,
577,50005581,3.6,,,,7.75,4.2,5.5,5.75,8.5
578,50005582,6.6,5.5,4.75,3.75,6.5,5.2,,,
579,50005583,5.6,,,,7.0,5.0,5.25,7.0,8.5
580,50005584,7.2,6.25,5.75,4.25,7.0,5.0,,,
581,50005585,6.2,,,,7.5,4.4,6.0,6.5,8.75
582,50005586,4.8,5.25,5.5,4.25,6.75,4.8,,,
583,50005587,8.6,8.25,8.5,7.0,7.5,5.0,,,
584,50005588,7.8,,,,7.0,7.4,8.5,7.5,9.0
585,50005589,7.2,6.25,4.75,5.25,7.25,7.6,,,
586,50005590,7.0,,,,6.0,,6.25,5.0,
587,50005591,7.2,6.5,7.0,4.75,7.0,3.8,,,
588,50005592,6.0,6.5,4.75,3.75,6.75,2.6,,,
589,50005593,5.8,,,,5.0,,6.0,7.0,
590,50005594,5.6,4.25,5.0,3.75,5.75,,,,
591,50005595,3.2,,,,5.75,,4.25,5.25,
592,50005596,3.8,,,,6.0,,3.5,6.0,
593,50005597,7.8,6.25,7.5,7.5,8.0,5.2,,,
594,50005598,8.0,8.0,7.0,6.5,8.0,7.4,,,
595,50005599,8.4,8.25,8.5,7.25,8.0,5.4,,,
596,50005600,5.8,,,,5.0,,5.75,7.0,
597,50005601,6.6,,,,7.25,5.2,7.25,6.25,8.75
598,50005602,4.6,,,,4.25,,3.5,6.25,
599,50005603,8.4,6.75,7.25,6.0,5.5,,,,
600,50005604,7.4,7.5,6.25,5.5,7.5,5.2,,,
601,50005605,4.4,,,,5.25,4.2,5.5,6.0,7.5
602,50005606,6.0,6.25,6.25,5.25,7.25,4.0,,,
603,50005607,8.0,,,,8.25,5.0,8.25,6.75,8.25
604,50005608,6.6,,,,7.25,3.8,6.5,7.75,8.75
605,50005609,8.0,8.5,7.5,6.25,8.5,7.2,,,
606,50005610,7.4,,,,5.5,4.6,7.75,8.75,8.5
607,50005611,6.8,,,,8.0,4.4,8.75,7.5,9.5
608,50005612,7.8,8.0,7.75,6.5,7.5,6.2,,,
609,50005613,5.2,,,,5.75,,4.75,6.5,
610,50005614,8.2,6.75,8.25,6.5,7.25,4.0,,,
611,50005615,6.6,,,,6.0,4.6,7.25,6.0,8.5
612,50005616,6.4,5.5,5.25,4.75,5.25,,,,
613,50005617,6.0,,,,6.5,4.2,4.5,5.25,8.0
614,50005618,3.6,,,,5.0,,6.0,5.75,
615,50005619,7.2,5.0,5.75,4.25,7.0,5.2,,,
616,50005620,7.8,7.5,7.5,6.25,8.5,6.6,,,
617,50005621,8.2,,,,7.25,4.8,7.25,6.75,9.0
618,50005622,6.2,,,,6.0,,7.5,7.25,
619,50005623,3.6,,,,3.75,,3.0,6.25,
620,50005624,2.2,,,,5.25,,5.5,6.0,
621,50005625,8.4,,,,7.25,3.8,7.0,8.25,9.25
622,50005626,7.6,,,,6.0,5.2,9.0,8.25,9.25
623,50005627,5.4,,,,5.75,3.2,6.25,6.75,7.25
624,50005628,7.2,,,,5.75,,4.5,7.0,
625,50005629,7.8,7.0,6.25,3.25,6.75,3.8,,,
626,50005630,6.4,,,,7.5,4.8,6.0,5.75,8.75
627,50005631,5.6,,,,8.0,4.2,8.0,7.25,9.0
628,50005632,6.8,4.5,5.25,5.0,6.75,4.6,,,
629,50005633,6.8,,,,7.0,4.2,8.0,6.75,9.0
630,50005634,3.8,,,,5.25,,5.75,7.25,
631,50005635,2.4,,,,4.5,,5.25,5.0,
632,50005636,6.2,,,,7.0,2.8,5.5,4.75,8.25
633,50005637,2.6,,,,3.75,,3.25,5.0,
634,50005638,3.8,,,,5.25,,7.0,6.75,
635,50005639,4.8,,,,7.0,3.4,7.75,7.25,6.75
636,50005640,7.0,,,,6.5,,8.25,8.25,
637,50005641,8.2,7.5,7.25,6.0,7.75,5.4,,,
638,50005642,3.4,,,,5.5,,4.75,7.0,
639,50005643,4.4,,,,5.0,,4.0,5.5,
640,50005644,4.0,3.0,4.75,3.5,5.0,,,,
641,50005645,7.8,4.75,6.25,5.5,7.25,4.6,,,
642,50005646,2.8,,,,5.25,,6.0,5.25,
643,50005647,5.8,,,,6.75,4.4,7.25,6.75,8.75
644,50005648,7.2,6.25,7.0,5.25,6.5,5.4,,,
645,50005649,4.4,,,,5.5,,6.75,7.75,
646,50005650,6.6,,,,3.75,,4.75,5.75,
647,50005651,7.2,5.75,5.5,4.0,6.75,4.0,,,
648,50005652,6.4,,,,6.0,,6.25,6.5,
649,50005653,7.4,,,,7.5,3.4,9.25,7.75,9.75
650,50005654,8.2,6.75,7.25,6.0,7.0,6.0,,,
651,50005655,8.2,7.75,7.25,3.5,6.75,3.8,,,
652,50005656,7.4,5.25,4.25,4.0,9.25,7.8,,,
653,50005657,7.0,5.0,8.0,5.25,7.5,,,,
654,50005658,6.6,6.25,7.0,5.25,7.0,4.6,,,
655,50005659,7.0,,,,5.5,,4.5,6.5,
656,50005660,4.4,,,,3.75,,6.0,5.0,
657,50005661,7.2,7.75,5.5,3.75,6.0,5.0,,,
658,50005662,6.6,,,,6.75,4.0,8.0,6.5,8.75
659,50005663,5.8,,,,7.5,4.4,5.75,7.0,7.75
660,50005664,5.2,,,,5.75,,7.25,7.0,
661,50005665,8.4,8.5,9.25,6.0,7.75,4.8,,,
662,50005666,7.4,,,,6.75,,6.5,7.25,
663,50005667,6.8,,,,7.0,4.8,7.75,8.0,8.5
664,50005668,7.4,,,,6.75,5.6,7.5,7.25,9.0
665,50005669,7.2,6.25,6.75,5.25,8.25,5.0,,,
666,50005670,5.4,6.0,4.0,3.5,7.0,4.0,,,
667,50005671,5.6,,,,6.0,,5.25,7.25,
668,50005672,9.0,7.25,6.25,5.0,8.0,6.2,,,
669,50005673,6.8,7.5,6.25,5.0,7.75,7.4,,,
670,50005674,6.2,,,,7.0,7.0,6.75,7.5,8.0
671,50005675,8.2,7.75,8.25,5.75,7.5,4.4,,,
672,50005676,3.4,,,,7.25,2.8,8.0,7.25,9.0
673,50005677,9.0,8.0,7.75,8.0,5.25,,,,
674,50005678,6.8,6.5,5.75,6.0,6.5,6.2,,,
675,50005679,2.8,,,,5.41,,4.25,5.5,
676,50005680,4.8,,,,5.0,,4.25,6.0,
677,50005681,6.0,,,,7.0,4.2,7.5,8.25,8.0
678,50005682,2.6,,,,5.0,,5.75,6.75,
679,50005683,3.4,,,,6.0,,4.5,5.75,
680,50005684,6.2,,,,6.0,,5.25,6.0,
681,50005685,5.2,,,,6.0,3.6,8.25,7.5,8.5
682,50005686,8.2,,,,7.25,5.8,9.0,8.25,9.25
683,50005687,7.4,7.5,7.5,4.75,7.75,,,,
684,50005688,6.2,,,,4.5,,4.5,6.25,
685,50005689,6.0,,,,4.0,,4.75,5.5,
686,50005690,7.0,,,,5.75,,8.0,8.25,
687,50005691,4.8,,,,5.5,2.8,3.25,5.0,7.0
688,50005692,7.8,,,,6.25,,7.5,7.75,
689,50005693,3.6,,,,5.25,,1.75,6.0,
690,50005694,6.2,,,,6.5,5.6,6.5,5.25,8.0
691,50005695,9.0,7.5,8.5,8.75,7.25,7.0,,,
692,50005696,5.8,,,,6.0,3.4,7.0,7.25,8.75
693,50005697,8.2,7.5,8.25,6.25,7.5,3.8,,,
694,50005698,5.0,,,,6.0,3.2,7.0,6.25,8.25
695,50005699,7.8,,,,8.0,,9.0,8.75,
696,50005700,7.2,,,,6.25,5.4,7.5,6.5,8.5
697,50005701,7.6,,,,7.5,7.6,8.0,8.0,9.25
698,50005702,7.6,,,,8.25,5.2,8.25,8.5,9.25
699,50005703,6.8,,,,6.92,4.0,4.5,6.25,8.75
700,50005704,5.2,,,,4.25,,3.5,5.25,
701,50005705,3.6,,,,5.0,,4.75,7.25,
702,50005706,6.0,,,,4.5,2.6,8.0,9.0,9.0
703,50005707,7.8,6.5,7.25,6.75,8.75,8.6,,,
704,50005708,6.4,,,,6.5,4.4,5.75,6.25,7.75
705,50005709,6.4,,,,8.0,4.4,7.75,8.0,9.5
706,50005710,5.8,,,,7.5,3.8,6.5,7.0,9.25
707,50005711,7.0,,,,8.0,5.0,8.25,6.75,8.75
708,50005712,5.2,,,,5.5,,6.5,6.0,
709,50005713,5.0,,,,6.75,,3.5,6.0,
710,50005714,4.8,,,,5.0,,2.5,5.5,
711,50005715,6.2,,,,6.0,,8.25,7.0,
712,50005716,7.2,,,,7.0,,9.25,9.0,
713,50005717,8.0,7.5,6.75,4.5,7.0,6.8,,,
714,50005718,6.8,,,,8.0,4.6,6.5,6.25,8.5
715,50005719,6.6,,,,5.0,5.2,6.0,6.0,9.0
716,50005720,8.0,6.5,7.0,6.0,8.5,7.0,,,
717,50005721,2.4,,,,1.5,,3.0,4.25,
718,50005722,3.4,,,,3.5,,3.75,5.0,
719,50005723,7.6,7.5,6.5,5.5,6.5,,,,
720,50005724,4.8,,,,6.5,,4.0,6.75,
721,50005725,4.4,,,,6.75,,6.25,6.75,
722,50005726,7.2,,,,8.5,5.6,7.5,9.0,9.5
723,50005727,5.8,,,,6.5,,3.75,5.5,
724,50005728,4.4,,,,6.5,,5.25,7.25,
725,50005729,8.0,,,,6.5,4.6,8.5,7.25,9.0
726,50005730,8.2,,,,7.5,4.4,6.5,6.75,9.25
727,50005731,6.6,,,,5.25,5.2,7.75,6.75,8.75
728,50005732,8.6,8.5,8.5,6.75,6.5,6.2,,,
729,50005733,2.6,,,,5.0,,4.5,7.75,
730,50005734,7.6,6.25,5.5,5.5,7.0,3.2,,,
731,50005735,8.4,6.0,6.25,3.5,7.25,6.8,,,
732,50005736,4.4,,,,4.25,,5.25,6.75,
733,50005737,5.2,,,,5.0,5.2,5.0,4.5,8.0
734,50005738,5.6,,,,4.75,2.6,6.75,5.75,6.75
735,50005739,8.0,,,,6.75,3.6,8.5,8.25,9.25
736,50005740,8.0,7.25,7.75,5.75,6.0,6.4,,,
737,50005741,8.2,,,,5.0,,6.75,5.75,
738,50005742,5.2,,,,6.17,,6.25,6.25,
739,50005743,6.6,,,,7.25,5.2,7.75,7.25,8.75
740,50005744,3.2,,,,2.75,,3.75,6.5,
741,50005745,5.8,,,,6.0,2.6,6.75,6.0,7.25
742,50005746,5.4,,,,6.25,,4.75,8.25,
743,50005747,7.2,5.75,5.5,4.75,6.5,4.6,,,
744,50005748,7.0,,,,7.0,4.0,7.25,6.5,9.5
745,50005749,7.4,7.5,7.75,6.25,8.25,5.6,,,
746,50005750,7.0,7.25,3.75,5.25,4.75,3.8,,,
747,50005751,6.6,,,,6.0,,5.75,8.5,
748,50005752,7.2,6.75,7.5,5.5,7.25,4.0,,,
749,50005753,4.4,,,,5.75,,4.75,5.75,
750,50005754,7.6,6.25,7.5,4.75,7.5,2.8,,,
751,50005755,7.6,,,,8.0,5.4,9.0,8.5,9.0
752,50005756,5.8,,,,4.0,,4.5,7.25,
753,50005757,6.2,,,,6.0,4.2,8.0,7.25,8.75
754,50005758,8.6,6.25,7.5,5.75,7.25,5.4,,,
755,50005759,4.0,,,,5.25,,7.0,6.5,
756,50005760,5.2,,,,7.16,4.2,6.75,6.75,9.0
757,50005761,5.0,,,,6.0,4.2,6.0,6.5,7.25
758,50005762,7.0,,,,4.0,3.6,7.5,7.25,8.75
759,50005763,7.6,8.0,7.5,5.5,7.5,4.6,,,
760,50005764,7.6,7.0,6.75,7.75,7.5,4.4,,,
761,50005765,4.4,,,,5.0,,4.75,6.25,
762,50005766,5.2,,,,6.5,,6.25,7.25,
763,50005767,4.4,,,,6.25,4.2,4.5,6.25,8.75
764,50005768,4.8,,,,6.5,,7.0,6.5,
765,50005769,6.2,,,,6.0,4.2,5.75,6.0,8.5
766,50005770,5.4,,,,5.25,,4.0,6.75,
767,50005771,7.4,5.0,4.5,4.5,7.0,4.6,,,
768,50005772,6.2,,,,7.5,,6.0,5.5,
769,50005773,6.0,,,,7.25,4.2,5.25,6.0,8.25
770,50005774,4.4,,,,6.17,4.4,6.25,6.25,9.5
771,50005775,4.0,,,,5.25,,4.25,5.5,
772,50005776,6.2,5.75,6.25,5.75,6.5,6.6,,,
773,50005777,5.8,,,,4.5,,3.5,6.25,
774,50005778,5.4,,,,6.0,4.0,6.5,5.25,8.75
775,50005779,2.6,,,,1.5,,3.5,2.25,
776,50005780,5.6,,,,5.25,,7.75,6.75,
777,50005781,7.2,5.25,4.5,2.25,6.75,4.2,,,
778,50005782,7.0,7.0,6.0,4.25,5.75,6.6,,,
779,50005784,5.6,,,,4.0,,3.75,7.75,
780,50005785,7.0,6.0,6.25,5.5,7.25,6.0,,,
781,50005786,7.6,,,,8.25,5.8,7.5,7.0,9.25
782,50005787,7.4,,,,6.5,6.2,8.0,6.5,8.75
783,50005788,8.6,8.5,6.0,4.5,7.75,8.2,,,
784,50005789,4.8,,,,6.5,,7.5,7.25,
785,50005790,7.4,7.5,6.25,5.5,7.5,4.2,,,
786,50005791,6.6,,,,5.75,4.2,8.75,8.75,9.5
787,50005792,4.6,,,,5.5,2.8,8.0,6.25,8.75
788,50005793,7.2,,,,6.75,5.2,7.25,7.0,9.25
789,50005794,7.8,6.25,6.0,6.0,6.0,,,,
790,50005795,6.8,,,,7.5,4.4,5.5,5.5,8.5
791,50005796,7.0,,,,8.0,4.8,6.5,6.75,8.0
792,50005797,6.4,6.5,5.75,4.5,6.75,5.2,,,
793,50005798,4.0,,,,6.75,3.4,4.0,7.0,8.0
794,50005799,3.0,,,,3.5,,2.5,5.25,
795,50005800,5.8,,,,5.0,,3.5,5.75,
796,50005801,6.2,,,,5.5,4.0,4.25,6.0,8.75
797,50005802,5.2,,,,5.75,,5.25,7.25,
798,50005803,6.0,,,,7.25,4.0,8.25,6.5,8.25
799,50005804,6.8,,,,6.0,4.8,5.5,7.0,8.25
800,50005805,6.8,,,,6.25,4.2,6.75,7.0,8.25
801,50005806,2.6,,,,3.0,,2.75,4.0,
802,50005807,6.4,6.75,5.75,3.75,6.75,2.6,,,
803,50005808,4.0,,,,6.5,1.8,5.0,4.5,7.5
804,50005810,8.2,7.25,6.5,5.0,8.5,5.2,,,
805,50005811,6.8,5.25,5.25,3.25,6.75,5.6,,,
806,50005812,7.6,7.5,8.5,4.75,8.5,4.0,,,
807,50005813,7.8,6.25,6.25,4.5,8.0,4.8,,,
808,50005814,6.4,,,,5.5,,6.75,4.75,
809,50005815,7.4,,,,6.0,6.8,8.0,7.25,
810,50005816,3.6,,,,5.5,,2.5,3.25,
811,50005817,6.8,7.75,5.5,3.5,7.75,6.4,,,
812,50005818,5.6,,,,7.5,3.6,7.0,7.25,8.25
813,50005819,8.4,6.5,7.5,7.25,8.25,7.2,,,
814,50005820,6.2,,,,7.75,5.0,7.75,5.5,8.25
815,50005821,6.0,7.5,5.75,4.25,5.75,4.6,,,
816,50005822,5.0,,,,6.0,,4.75,7.0,
817,50005823,5.4,,,,6.0,,4.5,5.75,
818,50005824,7.4,6.75,6.5,5.25,6.75,4.4,,,
819,50005825,6.0,,,,6.75,3.4,8.5,7.75,8.25
820,50005826,7.8,7.0,6.25,4.5,7.5,4.8,,,
821,50005827,5.0,,,,6.5,,4.25,6.5,
822,50005828,5.4,,,,4.5,,4.0,5.25,
823,50005829,6.8,,,,6.0,,7.75,6.5,
824,50005830,5.8,,,,5.75,2.8,5.25,6.0,7.75
825,50005831,5.8,,,,6.0,,5.5,4.5,
826,50005832,6.0,,,,7.0,5.2,9.25,8.25,9.0
827,50005833,7.6,,,,5.0,,7.25,6.75,
828,50005834,4.8,,,,8.5,4.6,7.75,6.75,9.25
829,50005835,7.2,,,,7.5,5.8,8.5,8.0,9.5
830,50005836,6.0,,,,7.5,5.6,7.5,8.0,9.0
831,50005837,6.8,,,,7.5,5.4,7.25,5.75,8.25
832,50005838,7.4,,,,7.25,6.2,6.75,6.75,8.5
833,50005839,5.8,3.5,4.75,3.75,6.75,,,,
834,50005840,7.4,,,,7.25,4.2,5.5,8.25,8.25
835,50005841,4.6,,,,7.0,3.0,4.75,7.0,8.25
836,50005842,7.6,8.5,6.75,6.0,8.5,5.0,,,
837,50005843,6.4,,,,5.75,,5.5,6.25,
838,50005844,7.2,,,,6.5,4.6,6.75,7.25,8.75
839,50005845,4.8,,,,6.0,,5.75,6.75,
840,50005846,7.0,6.75,6.25,5.0,6.25,3.8,,,
841,50005847,7.4,5.75,6.75,4.25,7.25,4.8,,,
842,50005848,5.4,4.0,5.5,4.5,6.5,3.4,,,
843,50005849,7.0,8.25,7.5,5.5,6.5,4.6,,,
844,50005850,6.8,5.5,6.0,4.5,7.0,4.6,,,
845,50005851,8.4,,,,7.25,3.6,9.0,9.0,9.5
846,50005852,7.0,,,,5.25,,3.0,6.25,
847,50005853,6.4,5.75,6.75,3.5,7.0,5.8,,,
848,50005854,3.8,,,,5.0,,4.0,7.5,
849,50005855,7.8,,,,6.25,,5.75,6.75,
850,50005856,5.4,,,,6.25,2.8,6.75,6.0,8.0
851,50005857,6.2,4.75,6.75,1.75,5.41,3.8,,,
852,50005858,7.0,6.5,7.25,5.0,6.5,5.0,,,
853,50005859,5.4,,,,6.75,3.2,6.0,6.5,8.75
854,50005860,5.4,,,,7.0,3.4,7.25,7.25,8.0
855,50005861,8.2,8.5,7.5,6.75,6.5,5.2,,,
856,50005862,7.6,7.25,7.0,3.25,5.25,4.0,,,
857,50005863,6.4,6.25,6.5,3.25,5.92,4.2,,,
858,50005864,7.2,5.75,5.5,4.0,5.5,4.8,,,
859,50005865,5.6,,,,6.25,5.2,6.75,7.0,8.0
860,50005866,7.6,7.75,5.25,7.0,8.0,6.6,,,
861,50005867,4.0,,,,5.25,,8.0,7.75,
862,50005868,2.6,,,,6.5,,6.0,6.75,
863,50005869,7.8,7.25,8.5,6.75,8.5,6.4,,,
864,50005870,5.8,,,,5.75,4.2,6.25,6.5,8.75
865,50005871,6.2,,,,5.75,4.0,6.0,7.75,7.25
866,50005872,3.0,,,,5.0,,4.25,7.0,
867,50005873,6.2,,,,6.0,2.8,5.0,6.5,7.75
868,50005874,7.4,6.0,5.75,5.0,6.0,3.6,,,
869,50005875,3.6,,,,4.25,,5.5,7.0,
870,50005876,8.0,7.0,6.25,5.5,7.58,3.2,,,
871,50005877,7.2,6.75,6.5,6.25,7.5,5.6,,,
872,50005878,5.8,4.25,5.0,3.75,7.0,7.2,,,
873,50005879,6.6,,,,6.5,4.0,6.25,6.0,8.0
874,50005880,6.6,,,,8.0,,8.25,7.75,
875,50005881,6.8,,,,7.25,6.0,8.75,8.5,9.0
876,50005882,7.0,,,,6.75,3.2,7.5,6.75,8.25
