,SBD,Toán,Lí,Hóa,Sinh,Văn,Ngoại ngữ,Sử,Địa,GDCD
99,50005101,7.0,,,,6.75,5.0,6.0,6.25,7.25
100,50005102,7.8,,,,8.25,6.0,7.5,8.0,9.75
101,50005103,7.6,4.75,8.5,5.5,6.0,4.8,,,
102,50005104,8.2,,,,7.25,,8.25,8.0,
103,50005105,8.0,7.25,7.0,5.0,7.0,8.6,,,
104,50005106,5.4,,,,7.0,3.0,8.25,7.25,8.5
105,50005107,6.6,,,,6.25,4.0,8.25,7.75,8.75
106,50005108,8.4,8.0,6.25,4.5,7.75,5.4,,,
107,50005109,8.2,8.75,8.25,5.75,7.5,7.4,,,
108,50005110,5.8,6.0,6.5,5.5,8.0,5.0,,,
109,50005111,7.6,,,,6.5,7.8,6.5,7.0,8.5
110,50005112,6.6,5.75,7.0,3.0,7.25,7.2,,,
111,50005113,8.4,7.5,7.75,5.75,8.5,9.0,,,
112,50005114,6.4,,,,8.0,3.4,8.0,8.0,8.5
113,50005115,4.8,,,,6.25,4.0,6.0,5.75,8.25
114,50005116,7.6,,,,7.5,4.8,8.0,8.0,9.0
115,50005117,6.0,,,,6.75,,4.75,5.75,
116,50005118,7.6,7.0,7.25,6.5,4.5,5.6,,,
117,50005119,6.6,6.25,5.75,4.5,6.5,7.6,,,
118,50005120,7.8,6.5,7.25,4.25,6.75,4.4,,,
119,50005121,5.6,,,,4.5,,5.75,5.25,
120,50005122,7.8,6.25,7.5,7.75,7.33,6.0,,,
121,50005123,8.4,7.0,8.5,7.0,6.5,6.0,,,
122,50005124,7.6,,,,8.0,8.8,9.0,8.75,9.75
123,50005125,5.8,,,,6.0,4.6,6.5,6.75,8.75
124,50005126,7.4,,,,6.75,8.4,7.5,7.5,9.5
125,50005127,7.0,2.75,5.5,7.0,6.0,5.0,,,
126,50005128,6.6,,,,6.25,4.8,5.75,6.25,8.75
127,50005129,7.4,6.0,6.25,6.0,7.25,6.4,,,
128,50005130,7.8,6.25,5.75,4.25,6.25,5.0,,,
129,50005131,7.6,6.75,7.25,4.25,5.91,5.0,,,
130,50005132,6.8,4.75,6.5,4.25,6.0,5.6,,,
131,50005133,5.4,,,,6.0,3.8,3.75,4.5,8.0
132,50005134,5.0,,,,4.0,,7.25,5.25,
133,50005135,8.0,6.75,7.0,5.5,6.75,6.2,,,
134,50005136,7.4,,,,4.75,,8.75,8.25,
135,50005137,5.6,,,,3.5,,3.25,6.25,
136,50005138,7.0,5.75,8.0,5.0,7.0,5.6,,,
137,50005139,7.4,6.0,7.5,5.0,7.25,4.4,,,
138,50005140,7.4,,,,7.0,4.8,5.75,7.5,8.5
139,50005141,6.2,,,,5.0,,5.0,6.25,
140,50005142,7.6,,,,7.75,7.8,8.25,8.25,9.5
141,50005143,8.8,7.0,6.0,5.75,7.5,9.6,,,
142,50005144,6.2,,,,5.08,,3.0,3.75,
143,50005145,6.2,,,,6.75,4.8,5.75,6.75,9.25
144,50005146,5.8,,,,7.0,3.6,5.75,7.0,8.25
145,50005147,5.2,,,,5.5,,7.25,5.5,
146,50005148,7.8,,,,7.5,5.4,8.75,7.25,8.75
147,50005149,6.8,,,,8.0,5.8,5.25,6.75,8.25
148,50005150,6.8,,,,6.0,,7.0,7.25,
149,50005151,7.4,6.75,6.75,7.25,7.5,6.6,,,
150,50005152,7.8,,,,7.5,7.6,7.25,8.75,9.5
151,50005153,6.6,,,,7.5,5.0,6.0,7.75,9.25
152,50005154,7.0,,,,7.5,7.2,5.5,4.5,8.0
153,50005155,5.8,,,,6.0,3.2,4.5,5.25,7.0
154,50005156,6.0,,,,6.0,,5.5,5.5,
155,50005157,8.2,,,,5.5,5.0,7.0,7.75,9.5
156,50005158,8.0,6.5,6.5,6.0,6.5,6.4,,,
157,50005159,2.8,,,,5.25,,4.25,4.75,
158,50005160,7.0,6.0,5.0,3.5,6.17,4.4,,,
159,50005161,8.4,6.75,5.75,6.5,6.75,5.8,,,
160,50005162,8.2,6.5,7.0,5.0,7.0,7.6,,,
161,50005163,6.0,,,,4.25,3.2,5.25,6.25,7.25
162,50005164,7.0,,,,6.5,3.6,6.75,7.0,8.25
163,50005165,5.2,4.5,3.75,3.25,6.0,4.2,,,
164,50005166,4.2,5.0,4.75,1.75,6.0,5.2,,,
165,50005167,7.0,4.25,5.75,3.5,8.25,5.6,,,
166,50005168,4.8,,,,6.5,4.2,3.75,6.0,6.75
167,50005169,6.8,,,,4.5,,5.0,7.0,
168,50005170,6.0,,,,7.5,4.2,5.75,6.25,8.0
169,50005171,3.4,,,,4.25,,5.25,4.5,
170,50005172,5.8,,,,5.75,,4.75,5.0,
171,50005173,7.0,6.5,6.5,4.25,6.75,5.4,,,
172,50005174,5.6,5.0,4.75,5.25,5.0,2.4,,,
173,50005175,5.6,2.5,4.0,3.0,7.75,3.0,,,
174,50005176,5.4,3.5,3.25,3.25,5.75,3.0,,,
175,50005177,5.2,6.5,5.0,4.25,7.0,4.8,,,
176,50005178,3.8,,,,4.5,,1.75,4.75,
177,50005179,4.8,,,,6.25,5.0,5.0,7.75,8.5
178,50005180,4.2,4.25,4.75,2.75,6.75,5.8,,,
179,50005181,6.4,4.5,4.75,3.25,6.25,5.8,,,
180,50005182,6.2,6.25,5.0,3.0,5.25,2.8,,,
181,50005183,6.4,,,,6.5,6.0,6.75,6.75,8.5
182,50005184,6.8,6.25,6.0,5.25,6.75,7.8,,,
183,50005185,5.8,,,,7.0,,4.75,6.75,
184,50005186,6.4,5.0,3.0,3.5,5.0,4.0,,,
185,50005187,4.8,,,,6.25,3.8,4.5,5.5,6.25
186,50005188,7.2,5.75,6.25,3.0,7.75,3.8,,,
187,50005189,6.4,7.25,7.25,6.0,6.5,6.0,,,
188,50005190,4.6,6.5,6.75,1.75,9.0,4.2,,,
189,50005191,7.8,7.5,6.25,3.75,8.0,6.4,,,
190,50005192,6.6,6.75,8.0,3.0,7.75,4.6,,,
191,50005193,6.6,7.0,6.0,5.0,6.25,4.6,,,
192,50005194,6.8,4.5,6.75,3.0,5.0,5.2,,,
193,50005195,4.0,4.25,3.25,4.0,5.75,2.6,,,
194,50005196,5.6,,,,5.75,,8.0,8.0,
195,50005197,7.4,,,,8.25,5.0,8.0,7.0,9.25
196,50005198,5.4,5.5,4.5,3.75,5.5,4.6,,,
197,50005199,8.0,,,,6.25,,7.5,6.75,
198,50005200,7.2,4.5,4.75,4.5,5.75,5.0,,,
199,50005201,5.4,,,,5.5,4.4,6.75,6.75,8.75
200,50005202,5.8,,,,6.75,5.0,3.75,5.75,8.0
201,50005203,5.6,,,,7.25,4.8,6.5,7.5,9.0
202,50005204,6.4,6.25,6.5,2.25,5.75,3.8,,,
203,50005205,4.4,,,,6.0,3.0,6.25,8.25,8.5
204,50005206,3.8,4.75,4.75,2.75,5.0,3.2,,,
205,50005207,7.6,5.25,6.0,4.0,7.5,7.6,,,
206,50005208,7.0,6.0,5.75,5.5,7.25,5.0,,,
207,50005209,6.6,6.5,7.5,4.25,7.25,5.0,,,
208,50005210,6.6,4.75,6.5,4.25,7.5,5.2,,,
209,50005211,6.4,6.75,8.25,5.25,7.0,5.4,,,
210,50005212,5.4,,,,7.0,,7.0,6.5,
211,50005213,3.8,5.25,4.25,2.5,6.5,1.8,,,
212,50005214,5.2,5.5,7.5,3.75,6.5,3.8,,,
213,50005215,6.0,,,,7.5,4.4,5.75,7.5,9.25
214,50005216,4.0,,,,6.75,5.2,7.5,6.75,7.75
215,50005217,1.4,,,,5.5,,4.5,3.5,
216,50005218,5.8,,,,7.25,3.2,6.75,7.25,8.75
217,50005219,6.6,4.75,5.5,3.75,7.0,3.4,,,
218,50005220,4.4,,,,4.75,,4.0,4.75,
219,50005221,7.4,7.0,6.0,4.0,7.25,5.0,,,
220,50005222,7.6,,,,8.75,6.2,7.75,8.0,9.5
221,50005223,6.0,,,,6.08,3.6,4.25,6.0,7.0
222,50005224,2.4,,,,4.25,,4.75,6.5,
223,50005225,5.6,5.25,6.5,6.25,6.25,3.4,,,
224,50005226,6.4,,,,6.25,5.6,6.5,6.75,8.5
225,50005227,6.8,6.75,7.5,5.25,5.5,2.6,,,
