,SBD,Toán,Văn,Sử,Địa,Ngoại ngữ,GDCD,Lí,Hóa,Sinh
95,50000096,7.6,7.0,7.25,7.0,3.4,7.75,,,
96,50000097,8.4,8.0,,,7.4,,8.75,8.0,7.0
97,50000098,7.8,6.75,8.75,8.0,6.6,9.25,,,
98,50000099,5.0,6.25,7.0,8.0,3.8,6.5,,,
99,50000100,5.4,6.75,7.25,6.75,4.0,9.25,,,
100,50000101,5.6,5.5,5.25,5.25,3.6,8.25,,,
101,50000102,7.0,7.25,,,5.2,,7.0,5.25,5.75
102,50000103,7.0,6.75,,,4.8,,6.5,8.5,5.5
103,50000104,7.2,7.25,6.0,7.0,2.8,8.0,,,
104,50000105,5.2,5.75,,,4.6,,4.5,5.0,3.5
105,50000106,8.0,7.25,8.25,8.5,5.8,9.5,,,
106,50000107,7.2,7.0,,,2.4,,5.25,4.0,3.5
107,50000108,7.4,8.25,,,6.0,,8.0,7.0,7.0
108,50000109,7.2,6.25,8.0,7.75,4.4,9.0,,,
109,50000110,8.2,6.5,,,4.8,,5.25,6.25,5.75
110,50000111,4.4,6.75,7.0,6.5,4.4,8.5,,,
111,50000112,8.2,7.5,,,4.6,,8.25,8.0,6.5
112,50000113,7.8,5.25,,,5.6,,6.75,6.0,6.0
113,50000114,7.0,6.0,,,4.4,,6.25,5.5,4.75
114,50000115,7.4,7.5,,,4.4,,6.5,7.0,3.25
115,50000116,7.8,5.75,,,7.2,,6.5,7.5,3.5
116,50000117,7.0,7.75,,,4.0,,5.5,7.0,4.25
117,50000118,6.8,7.0,6.25,6.0,4.0,8.0,,,
118,50000119,5.8,6.0,6.25,7.0,3.8,8.5,,,
119,50000120,3.4,4.25,,,3.6,,3.75,4.0,2.5
120,50000121,9.4,6.5,,,6.4,,9.25,9.0,6.0
121,50000122,7.0,7.0,7.0,7.0,2.8,7.75,,,
122,50000123,6.0,8.75,8.0,8.75,6.4,9.5,,,
123,50000124,6.4,6.0,4.75,7.25,3.0,8.75,,,
124,50000125,7.8,7.25,6.25,8.75,6.2,8.25,,,
125,50000126,8.2,7.0,,,3.8,,7.25,6.0,7.75
126,50000127,8.2,7.25,,,9.0,,8.5,7.0,6.25
127,50000128,6.4,7.5,6.5,8.5,4.6,7.75,,,
128,50000129,5.6,6.25,4.75,6.5,3.2,8.5,,,
129,50000130,6.2,7.5,4.75,6.75,4.2,8.5,,,
130,50000131,7.8,6.75,,,4.0,,7.75,8.0,7.0
131,50000132,6.8,7.75,,,5.6,,5.75,4.0,5.0
132,50000133,6.4,6.0,6.75,5.5,5.0,7.75,,,
133,50000134,8.0,6.5,,,4.8,,7.0,5.75,6.0
134,50000135,8.0,8.5,,,7.8,,8.0,7.75,4.5
135,50000136,8.0,7.0,,,5.0,,6.25,7.25,5.0
136,50000137,7.0,7.0,7.5,6.75,3.2,7.5,,,
137,50000138,7.4,7.0,,,7.4,,6.25,6.25,4.5
138,50000139,8.2,7.0,,,6.4,,8.0,5.5,7.0
139,50000140,7.6,7.5,8.25,9.0,4.0,8.75,,,
140,50000141,4.8,6.0,4.5,4.5,3.0,6.75,,,
141,50000142,9.0,9.25,,,9.8,,8.0,7.75,7.75
