,SBD,Toán,Lí,Hóa,Sinh,Văn,Ngoại ngữ,Sử,Địa,GDCD
95,50014938,2.6,,,,5.5,2.6,4.0,5.25,6.75
96,50014939,4.8,,,,7.5,3.2,7.0,7.0,8.0
97,50014940,4.0,,,,6.25,4.0,5.25,6.5,8.75
98,50014941,7.2,,,,8.0,5.6,7.75,6.75,8.75
99,50014942,5.8,,,,6.75,4.4,7.0,6.5,8.0
100,50014943,7.6,7.0,6.5,5.5,7.0,6.4,,,
101,50014944,6.8,,,,7.5,3.6,7.5,5.5,8.75
102,50014945,7.8,,,,7.5,5.8,7.25,7.0,9.0
103,50014946,3.6,,,,4.75,3.4,6.5,4.75,6.0
104,50014947,4.8,,,,6.5,3.2,7.5,6.0,7.5
105,50014948,2.8,,,,7.0,2.4,4.5,3.75,7.5
106,50014949,6.8,,,,7.0,2.8,8.0,7.0,9.75
107,50014950,7.0,,,,7.75,4.2,8.0,7.25,9.0
108,50014951,7.0,5.0,7.75,7.25,5.75,5.0,,,
109,50014952,5.6,,,,5.75,4.0,6.0,6.75,8.5
110,50014953,4.6,2.5,3.0,1.75,5.25,3.0,,,
111,50014954,5.6,,,,6.0,4.4,5.0,5.25,8.25
112,50014955,6.2,7.25,7.25,6.5,7.25,6.0,,,
113,50014956,6.6,6.25,7.25,4.5,5.25,5.4,,,
114,50014957,7.2,,,,6.5,5.2,8.25,8.5,9.0
115,50014958,2.8,,,,2.75,3.0,4.25,4.25,5.75
116,50014959,7.6,,,,8.0,6.2,9.5,8.5,9.5
117,50014960,5.2,,,,5.0,4.8,6.25,7.0,8.25
118,50014961,7.2,,,,7.0,6.2,8.0,7.5,10.0
119,50014962,7.6,6.5,7.5,4.75,8.0,6.0,,,
120,50014963,5.2,4.75,3.5,4.5,7.5,4.6,,,
121,50014964,5.2,,,,5.75,3.6,5.0,4.75,7.25
122,50014965,2.6,,,,3.5,2.8,6.25,5.0,6.75
123,50014966,3.2,,,,7.0,3.6,5.25,7.0,9.0
124,50014967,6.4,,,,5.0,4.2,5.25,6.75,8.25
125,50014968,6.4,,,,7.5,4.2,8.25,8.0,9.25
126,50014969,7.2,7.75,5.0,4.75,6.5,4.4,,,
127,50014970,6.2,3.0,4.25,4.5,6.5,3.6,,,
128,50014971,7.6,,,,8.25,5.2,9.25,9.0,9.5
129,50014972,8.0,7.25,8.0,4.25,7.0,3.4,,,
130,50014973,4.6,,,,3.5,3.0,4.0,5.75,7.0
131,50014974,4.4,,,,5.0,2.4,7.5,5.25,7.5
132,50014975,5.0,,,,6.75,4.6,6.5,6.75,8.5
133,50014976,6.6,,,,6.75,4.2,8.0,7.25,9.75
134,50014977,4.4,,,,4.25,3.4,5.75,6.75,8.25
135,50014978,4.6,,,,5.5,2.6,5.75,5.25,7.75
136,50014979,2.8,,,,4.5,3.0,6.0,7.25,7.25
137,50014980,4.6,,,,5.0,3.0,5.75,7.25,8.5
138,50014981,3.4,,,,4.5,2.8,5.25,6.25,8.25
139,50014982,6.0,5.25,5.25,3.5,5.5,4.4,,,
140,50014983,6.4,,,,4.75,5.0,6.0,6.0,8.75
141,50014984,7.0,,,,7.0,5.6,6.5,7.5,8.5
142,50014985,6.2,,,,5.25,5.8,7.5,5.25,9.0
143,50014986,4.2,,,,5.25,8.2,7.25,5.25,7.5
144,50014987,7.0,,,,8.0,5.2,8.0,7.5,9.0
145,50014988,6.6,,,,6.0,4.2,7.25,8.0,10.0
146,50014989,3.2,,,,5.0,3.2,5.5,6.25,6.5
147,50014990,6.4,,,,5.5,4.6,6.25,7.0,8.5
148,50014991,7.8,,,,8.5,5.2,7.25,6.0,9.25
149,50014992,7.0,,,,7.5,4.6,7.5,8.0,9.0
